run_idx,steps,window_size,window_drop_max,bias_cycle_max,landmark_stride,dense_val_ppl,val_ppl,ppl_gap,dense_tok_s,tok_s,tok_s_ratio,cycle_pct,window_pct,landmark_pct,rewire_pct,reachability,shortcut_rate,cache_hit_rate,avg_graph_build_ms
1,500,8,0.5,0.4,off,63.87029530519406,147.75640375822238,83.88610845302831,354546.8315541759,214800.5155984218,0.6058452550734461,2.687010169029236,97.31298685073853,0.0,0.0,127.732421875,0.984375,1.0,0.001167000038549304
2,500,8,0.5,0.4,64,63.87029530519406,146.84173663920632,82.97144133401225,354546.8315541759,208164.29732519918,0.587127789050319,2.700704336166382,94.07021999359131,3.2290734350681305,0.0,127.8359375,0.984375,1.0,0.0010419997852295637
3,500,8,0.5,0.4,128,63.87029530519406,242.61773211444097,178.7474368092469,354546.8315541759,214603.2577033565,0.6052888888123217,3.46599742770195,94.50030326843262,2.033696696162224,0.0,127.796875,0.984375,1.0,0.032750000013038516
4,500,8,0.5,0.8,off,63.87029530519406,161.89539573466172,98.02510042946766,354546.8315541759,217670.58957228894,0.6139403040724345,3.0199341475963593,96.98007106781006,0.0,0.0,127.732421875,0.984375,1.0,0.0013339999131858349
5,500,8,0.5,0.8,64,63.87029530519406,83.93100729000486,20.060711984810794,354546.8315541759,201933.81779869975,0.5695547099194528,2.457708492875099,95.5477774143219,1.9945133477449417,0.0,127.8359375,0.984375,1.0,0.0009999999310821295
6,500,8,0.5,0.8,128,63.87029530519406,132.87711334133425,69.00681803614019,354546.8315541759,214062.75077849824,0.603764388022147,2.2140605375170708,95.9581732749939,1.8277689814567566,0.0,127.796875,0.984375,1.0,0.0010000001639127731
7,500,8,0.7,0.4,off,63.87029530519406,52.04560398273995,-11.824691322454115,354546.8315541759,215213.70586123076,0.6070106589807316,3.069116175174713,96.9308853149414,0.0,0.0,127.732421875,0.984375,1.0,0.0024999999441206455
8,500,8,0.7,0.4,64,63.87029530519406,65.1340420506959,1.2637467455018339,354546.8315541759,203840.62432370253,0.574932861281416,4.115673527121544,92.5893783569336,3.2949455082416534,0.0,127.8359375,0.984375,1.0,0.0014580001588910818
9,500,8,0.7,0.4,128,63.87029530519406,108.84377861712197,44.97348331192791,354546.8315541759,209464.92265730823,0.5907962052265621,3.823220729827881,94.20531988143921,1.9714642316102982,0.0,127.796875,0.984375,1.0,0.0012909998185932636
10,500,8,0.7,0.8,off,63.87029530519406,61.33303734871782,-2.537257956476239,354546.8315541759,212070.77235757856,0.5981460091688154,4.574572294950485,95.42542695999146,0.0,0.0,127.732421875,0.984375,1.0,0.001291999826207757
11,500,8,0.7,0.8,64,63.87029530519406,155.67268946825388,91.80239416305982,354546.8315541759,204024.03680186952,0.5754501765183424,4.59112748503685,92.2104001045227,3.1984739005565643,0.0,127.8359375,0.984375,1.0,0.001750000286847353
12,500,8,0.7,0.8,128,63.87029530519406,48.453370996951875,-15.416924308242187,354546.8315541759,207729.44548152754,0.5859012886137888,3.4412894397974014,95.48670053482056,1.0720053687691689,0.0,127.796875,0.984375,1.0,0.0012499999720603228
13,500,16,0.5,0.4,off,63.87029530519406,86.78040207249444,22.910106767300377,354546.8315541759,186820.42672017933,0.526927362180171,1.8214235082268715,98.1785774230957,0.0,0.0,127.958984375,0.984375,1.0,0.0009170002304017544
14,500,16,0.5,0.4,64,63.87029530519406,108.62871998950237,44.75842468430831,354546.8315541759,182263.9454413893,0.5140757982307305,2.2916581481695175,94.83156204223633,2.876775711774826,0.0,127.9765625,0.984375,1.0,0.002374999923631549
15,500,16,0.5,0.4,128,63.87029530519406,101.64679489344199,37.77649958824793,354546.8315541759,185489.2325882906,0.5231727266471066,2.8420427814126015,95.2122688293457,1.9456906244158745,0.0,127.97265625,0.984375,1.0,0.0017499998211860657
16,500,16,0.5,0.8,off,63.87029530519406,93.39119849504529,29.520903189851225,354546.8315541759,186627.20462031954,0.5263823788869547,2.2285453975200653,97.77145981788635,0.0,0.0,127.958984375,0.984375,1.0,0.0009590000845491886
17,500,16,0.5,0.8,64,63.87029530519406,87.47236839333529,23.602073088141225,354546.8315541759,182701.52839007875,0.5153100017540598,2.4563468992710114,94.10912990570068,3.4345243126153946,0.0,127.9765625,0.984375,1.0,0.0011250001844018698
18,500,16,0.5,0.8,128,63.87029530519406,129.3251969354504,65.45490163025634,354546.8315541759,182853.4032694708,0.515738365134791,2.0699335262179375,95.06775140762329,2.862316370010376,0.0,127.97265625,0.984375,1.0,0.0035420001950114965
